,Unnamed: 0.1,Unnamed: 0,race,age,fnlwgt,education_num,capital_gain,hours_per_week,GroundTruth,GroundTruth_DB,FairDEN2,FairSC_normalized2,FairSC2,FairDEN3,FairSC_normalized3,FairSC3,FairDEN4,FairSC_normalized4,FairSC4,FairDEN5,FairSC_normalized5,FairSC5,FairDEN6,FairSC_normalized6,FairSC6,FairDEN7,FairSC_normalized7,FairSC7,FairDEN8,FairSC_normalized8,FairSC8,FairDEN9,FairSC_normalized9,FairSC9,FairDEN10,FairSC_normalized10,FairSC10,FairDen2,FairDen3,FairDen4,FairDen5,FairDen6,FairDen7,FairDen8,FairDen9,FairDen10
11,11,29137,2,44,222635,3,0,40,0,0,1,0,1,1,1,1,0,1,1,4,0,3,2,3,4,1,0,5,7,5,5,6,4,1,3,4,1,1,2,2,4,0,1,3,4,3
12,12,18633,4,32,100135,9,0,40,0,0,0,0,0,0,1,1,1,1,3,2,1,4,0,4,0,6,1,3,2,7,7,3,0,0,1,5,2,0,0,1,1,2,4,2,3,1
13,13,35513,4,63,90393,10,0,48,0,0,0,1,1,1,1,1,0,1,1,1,2,3,2,3,4,1,6,1,5,6,5,6,8,1,9,3,7,0,2,2,4,0,1,5,1,2
14,14,16620,4,59,38573,10,0,40,1,0,0,1,1,1,1,1,0,1,1,1,2,3,5,3,4,4,6,1,5,6,5,8,8,1,0,3,7,0,2,2,0,3,5,5,1,9
15,15,30674,4,18,110142,9,0,40,0,0,0,0,0,0,1,2,1,1,3,2,1,4,1,4,0,0,1,3,6,7,7,1,0,0,4,5,2,0,0,1,1,5,0,7,7,4
16,16,17700,4,39,387068,9,0,40,1,0,0,0,1,0,0,2,1,3,0,1,3,0,5,2,2,4,3,5,0,0,0,4,2,6,5,9,0,0,0,1,0,3,5,1,2,0
17,17,35703,4,21,116234,10,0,44,0,0,0,0,0,0,1,2,1,1,3,2,1,4,1,4,0,0,1,3,6,7,7,1,0,0,4,5,2,0,0,1,1,5,0,7,7,4
18,18,2463,2,46,174224,11,0,40,0,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,4,4,1,0,0,1,1,5,0,7,7,4
19,19,39378,1,30,170449,14,0,40,1,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,4,4,1,0,0,1,1,5,0,7,7,4
20,20,42597,4,19,375079,10,0,35,0,0,0,0,0,0,0,2,1,3,0,1,3,0,5,2,2,4,3,5,5,0,0,4,2,6,0,9,0,0,0,2,0,3,5,5,2,9
21,21,47293,4,39,233117,15,0,40,1,0,0,1,1,1,2,0,0,2,2,1,4,1,5,5,3,1,5,2,5,2,2,8,7,8,9,2,1,0,2,2,0,3,1,5,1,2
22,22,37428,4,60,80927,4,0,50,1,0,1,0,1,1,1,1,3,1,1,0,2,3,3,3,4,5,4,1,1,4,5,2,1,1,8,0,5,1,2,3,2,1,6,0,8,8
23,23,48265,4,32,244268,7,0,48,0,0,1,0,0,1,1,1,0,1,1,4,0,0,2,0,2,1,4,5,7,4,3,6,1,7,3,0,5,1,2,2,4,0,1,3,4,3
24,24,5653,4,56,192869,9,0,40,1,0,0,1,1,0,1,1,1,1,1,2,2,3,0,3,4,6,6,1,2,6,5,3,8,1,1,3,7,0,0,1,1,2,4,2,3,1
25,25,31570,4,31,77634,1,0,24,0,0,1,0,0,2,1,1,2,1,1,3,2,3,4,3,4,2,4,5,4,4,5,0,1,1,6,0,5,1,1,0,3,4,2,4,5,5
26,26,26782,4,46,162030,9,0,43,0,0,0,0,1,0,1,1,1,1,1,2,0,3,0,3,4,6,6,1,2,6,5,3,8,1,1,3,7,0,0,1,1,2,4,2,3,1
27,27,40276,4,60,40856,9,0,40,0,0,0,1,1,0,1,1,1,1,1,1,2,3,5,3,4,4,6,1,0,6,5,4,8,1,5,3,7,0,0,1,0,3,5,1,2,0
28,28,25694,4,42,102069,4,0,30,0,0,1,0,0,1,1,1,3,1,1,0,2,3,3,3,4,5,4,5,1,4,5,2,1,1,8,0,5,1,2,3,2,1,6,0,8,8
29,29,39366,4,31,284889,13,0,41,0,0,0,1,1,0,2,0,1,3,2,2,3,1,1,5,3,0,5,2,6,2,0,1,7,3,5,2,4,0,0,1,1,5,0,7,7,0
30,30,18533,2,27,251854,13,0,35,1,0,0,0,1,1,1,1,0,1,1,1,0,3,5,3,4,4,0,5,5,5,5,4,4,1,0,4,1,0,2,2,0,3,5,5,2,9
31,31,11497,4,27,120126,13,0,45,1,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,3,5,2,4,0,0,1,1,5,0,7,7,0
32,32,3617,4,17,354201,9,0,40,0,0,0,0,0,1,0,2,0,3,0,1,3,0,5,2,2,4,3,5,5,0,0,4,2,6,0,9,0,0,2,2,0,3,5,5,2,9
33,33,13909,4,30,188398,9,0,30,0,0,0,0,0,0,0,2,1,0,3,1,1,4,5,4,1,4,1,4,0,7,1,4,0,2,5,8,3,0,0,1,0,3,5,1,2,0
34,34,31723,4,57,317969,9,0,50,0,0,1,0,1,1,1,1,0,1,1,4,2,0,2,3,4,1,6,5,7,6,0,6,8,6,3,3,0,1,2,2,4,0,1,3,4,3
35,35,7565,4,41,277390,13,0,30,1,0,1,1,1,1,2,0,0,2,2,4,4,1,2,5,3,1,5,2,7,5,2,6,4,8,3,4,1,1,2,2,4,0,1,3,4,3
36,36,4865,4,22,162869,10,0,65,0,0,1,1,1,1,1,1,0,1,1,4,0,3,2,0,0,1,4,5,7,1,3,6,6,7,3,1,6,1,2,2,4,0,1,3,4,3
37,37,39543,4,57,321456,9,0,20,0,0,1,0,1,1,1,1,3,0,1,0,2,3,3,3,4,3,6,1,3,6,5,5,5,1,2,7,1,1,2,3,2,1,3,6,0,7
38,38,10941,4,58,373344,2,0,40,0,0,1,0,1,2,1,1,2,1,1,3,2,3,4,3,4,2,4,5,3,4,5,0,1,1,6,0,5,1,1,0,3,4,2,6,5,5
39,39,15482,4,46,202560,9,0,40,1,0,0,0,1,0,1,1,1,1,1,2,2,3,0,3,4,6,6,6,2,6,6,3,8,4,1,3,7,0,0,1,1,2,4,2,3,1
40,40,4878,4,29,206351,6,5013,40,0,0,1,0,0,1,1,1,0,1,1,0,2,3,3,3,0,5,4,5,1,4,5,2,1,1,8,0,5,1,2,2,2,0,6,0,8,8
41,41,13433,2,21,173324,10,0,20,0,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,5,4,1,0,0,1,1,5,0,7,7,0
42,42,4273,4,23,257621,13,0,45,0,0,0,1,1,1,2,0,0,2,2,1,4,1,5,5,3,4,5,2,5,2,2,4,7,3,0,2,4,0,2,2,0,3,5,5,2,9
43,43,29060,4,60,206339,9,0,40,0,0,0,1,1,0,1,1,1,1,1,2,2,3,0,3,4,6,6,1,2,6,5,3,8,1,1,3,7,0,0,1,1,2,4,2,3,1
44,44,30244,1,32,193260,10,0,40,0,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,4,4,1,0,0,1,1,5,0,7,7,4
45,45,43895,4,46,481258,13,0,45,1,0,1,0,1,1,0,0,3,3,0,0,3,0,3,2,2,3,3,5,3,0,0,5,2,6,2,9,0,1,2,3,2,1,3,6,0,7
46,46,25834,4,69,58213,13,20051,45,1,0,1,1,1,2,2,1,2,2,1,3,4,3,4,3,4,2,0,2,4,5,5,7,4,8,7,4,1,1,1,0,3,4,2,4,6,6
47,47,47078,4,46,178642,9,0,40,1,0,0,0,1,0,1,1,1,1,1,2,2,3,0,3,4,6,6,6,2,6,6,3,8,4,1,3,7,0,0,1,1,2,4,2,3,1
48,48,19148,4,29,253262,10,0,40,0,0,0,0,0,0,0,2,1,3,0,2,3,0,1,4,1,0,1,0,6,7,4,1,0,5,4,8,9,0,0,1,1,5,0,7,7,4
49,49,20356,4,25,250038,5,0,45,0,0,1,0,0,1,1,2,0,1,0,4,2,0,2,3,2,1,4,5,7,4,0,6,1,1,3,0,5,1,2,2,4,0,1,3,4,3
50,50,43134,4,38,43311,3,0,40,0,0,1,0,0,1,1,1,3,1,1,0,2,3,3,3,4,3,4,5,3,4,5,5,1,1,2,0,5,1,2,3,2,1,3,6,0,7
51,51,32707,4,50,138193,13,0,50,1,0,0,1,1,1,2,0,0,2,2,1,4,1,5,5,3,4,5,2,5,2,2,8,7,8,0,2,1,0,2,2,0,3,5,5,1,9
52,52,41570,4,26,61996,9,0,62,0,0,1,1,1,1,1,1,0,1,1,4,0,3,2,0,0,1,4,3,7,1,3,6,6,7,3,1,6,1,2,2,4,0,1,3,4,3
53,53,42233,4,30,136832,5,0,40,0,0,0,0,0,1,1,1,0,1,1,1,2,3,2,3,4,1,4,5,5,4,5,8,1,1,9,0,5,0,2,2,0,0,1,5,1,2
54,54,4303,4,30,65278,9,0,40,1,0,0,0,0,0,1,1,1,1,3,2,1,4,1,4,0,0,1,3,6,7,7,1,0,0,4,5,2,0,0,1,1,5,0,7,7,4
55,55,20279,4,47,191978,10,0,40,1,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,6,6,6,6,6,1,8,4,4,3,7,0,0,1,1,5,0,7,7,4
56,56,36257,4,43,95246,15,0,5,1,0,1,0,1,2,1,0,2,0,1,3,4,3,4,3,4,2,5,4,4,5,5,0,4,8,6,4,1,1,1,0,3,4,2,4,5,5
57,57,32109,4,18,347336,8,0,12,0,0,1,0,0,1,0,2,0,0,0,4,3,2,2,1,5,5,2,4,1,3,1,2,3,2,8,6,3,1,2,2,4,0,6,0,8,8
58,58,42697,4,26,340126,9,0,50,0,0,0,0,1,1,0,2,0,3,0,1,3,0,5,2,2,4,3,5,5,0,0,8,2,6,0,9,0,0,2,2,0,3,5,5,1,9
59,59,35881,4,34,424988,5,0,40,0,0,1,0,0,1,0,2,3,3,0,0,3,0,3,2,2,3,3,5,3,0,0,5,2,6,2,9,5,1,2,3,2,1,3,6,0,7
60,60,45484,2,31,463601,9,0,40,0,0,0,0,1,1,1,1,0,1,1,1,0,3,2,3,4,1,0,5,5,5,5,8,4,1,9,4,1,0,2,2,0,0,1,5,1,2
61,61,25113,4,22,188274,12,0,40,0,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,3,4,2,4,0,0,1,1,5,0,7,7,4
62,62,40839,2,33,207561,13,0,40,0,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,4,4,1,0,0,1,1,5,0,7,7,4
63,63,25956,4,18,344742,6,0,40,0,0,1,0,0,1,0,2,3,3,0,0,3,0,3,2,2,5,3,5,1,4,0,2,1,6,8,0,5,1,2,3,2,1,6,0,8,8
64,64,44485,4,24,245361,9,0,40,0,0,0,0,0,0,0,2,1,3,0,2,1,0,0,4,1,6,1,0,2,7,4,3,0,5,1,8,9,0,0,1,1,2,4,2,3,1
65,65,44754,4,36,280570,10,0,45,0,0,0,0,1,0,0,1,1,3,0,1,3,0,5,2,2,4,3,5,0,0,0,4,2,6,5,9,0,0,0,1,0,3,5,1,2,0
66,66,24573,4,53,113176,9,2597,40,0,0,0,1,1,0,1,1,1,1,1,1,2,3,5,3,4,4,6,1,0,6,5,4,8,1,5,3,7,0,0,1,0,3,5,1,2,0
67,67,15769,4,64,146110,10,0,24,0,0,1,0,1,1,1,1,0,0,1,4,2,3,2,3,4,1,6,1,7,6,5,6,5,1,9,7,1,1,2,2,4,0,1,3,4,2
68,68,21240,4,30,196385,13,15024,35,1,0,1,1,1,2,2,0,3,2,2,0,4,1,3,3,3,3,0,2,3,5,2,5,4,8,2,4,1,1,1,3,2,1,3,6,0,5
69,69,4524,4,19,39026,9,0,30,0,0,0,0,0,1,0,2,0,0,3,1,1,2,2,1,5,1,2,4,5,3,1,8,3,2,9,5,3,0,2,2,0,0,1,5,1,2
70,70,41192,4,41,149576,10,0,40,1,0,0,0,0,0,1,1,1,1,1,2,0,4,1,4,1,0,1,6,6,7,6,1,8,4,4,3,8,0,0,1,1,5,0,7,7,4
71,71,35280,4,38,186815,9,0,43,0,0,0,0,0,0,1,1,1,1,3,2,0,4,0,4,1,6,1,6,2,7,6,3,0,4,1,8,8,0,0,1,1,2,4,2,3,1
72,72,11335,2,43,281422,12,0,45,0,0,0,0,1,1,1,1,0,1,1,1,0,3,2,3,4,1,0,5,5,5,5,8,4,1,9,4,1,0,2,2,0,0,1,5,1,2
73,73,21531,4,46,96552,10,0,17,0,0,1,0,1,1,1,1,0,0,1,4,2,3,2,3,4,5,6,4,7,6,5,2,5,1,3,7,1,1,2,2,4,0,6,3,4,3
74,74,25109,4,53,142717,13,0,40,0,0,0,1,1,0,2,0,1,2,2,1,4,1,1,5,3,0,5,2,0,2,2,4,7,8,5,4,1,0,0,1,0,5,0,1,2,0
75,75,31872,2,26,385278,9,0,60,0,0,1,0,1,1,1,1,0,1,1,4,0,3,2,3,4,5,0,5,1,5,5,2,4,1,8,4,1,1,2,2,4,0,6,0,8,8
76,76,1175,4,58,169982,10,0,40,1,0,0,1,1,0,1,1,1,1,1,2,2,3,1,3,4,0,6,1,6,6,5,1,8,1,4,3,7,0,0,1,1,5,0,7,7,4
77,77,19825,4,58,190763,13,0,40,1,0,0,1,1,0,2,0,1,2,2,1,4,1,5,5,3,4,5,2,0,5,2,4,4,8,0,4,1,0,0,1,0,3,5,1,2,9
78,78,20188,2,34,263307,13,0,45,0,0,0,0,1,0,1,1,1,1,1,1,0,3,5,3,4,4,0,5,0,5,5,4,4,1,5,4,1,0,0,1,0,3,5,1,2,0
79,79,2004,4,39,192337,13,0,50,0,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,8,5,2,1,0,0,1,1,5,0,7,7,0
80,80,7133,4,41,174395,14,0,40,1,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,8,4,2,1,0,0,1,1,5,0,7,7,4
81,81,48057,4,76,239900,9,0,3,0,0,1,0,1,2,1,1,2,0,1,0,2,3,3,3,4,3,6,1,3,6,5,5,5,1,6,7,1,1,1,0,2,1,3,6,0,5
82,82,18049,4,40,208470,9,0,40,0,0,0,0,0,0,1,1,1,1,1,2,0,3,0,4,1,6,1,6,2,7,6,3,8,4,1,8,8,0,0,1,1,2,4,2,3,1
83,83,3000,4,31,259931,4,0,40,0,0,1,0,0,1,1,1,0,1,0,4,2,3,2,3,2,1,4,5,7,4,0,6,1,1,3,0,5,1,2,2,4,0,1,3,4,3
84,84,29683,4,32,329993,10,0,50,0,0,0,0,1,1,0,1,0,3,0,1,3,0,5,2,2,4,3,5,5,0,0,4,2,6,0,9,0,0,2,2,0,3,5,5,2,9
85,85,16840,4,32,286689,12,0,42,1,0,0,1,1,0,2,0,1,3,2,1,3,0,5,2,2,4,3,2,0,0,0,4,2,6,5,2,0,0,0,1,0,3,5,1,2,0
86,86,26232,1,39,80638,10,0,84,1,0,1,0,1,1,1,1,3,1,1,0,0,3,3,3,4,3,0,5,3,5,5,5,4,1,2,4,1,1,2,3,2,1,3,6,0,7
87,87,1422,4,40,202872,12,0,45,0,0,0,1,1,0,2,0,1,2,2,1,4,1,5,5,3,4,5,2,5,2,2,4,7,8,0,2,1,0,0,2,0,3,5,5,2,9
88,88,9194,4,55,170169,9,0,40,0,0,0,1,1,0,1,1,1,1,1,2,2,3,0,3,4,6,6,1,2,6,5,3,8,1,1,3,7,0,0,1,1,2,4,2,3,1
89,89,26229,4,25,113654,9,0,37,0,0,0,0,0,0,1,2,1,1,3,2,1,4,1,4,0,0,1,3,6,7,7,1,0,0,4,5,2,0,0,1,1,5,0,7,7,4
90,90,34271,4,46,66934,13,0,45,0,0,0,1,1,1,2,0,0,2,2,1,4,1,5,5,3,4,5,2,5,2,2,8,7,8,0,2,1,0,2,2,0,3,5,5,1,9
91,91,14198,4,37,172571,9,0,40,0,0,0,0,0,0,1,1,1,1,3,2,0,4,0,4,1,6,1,6,2,7,6,3,0,4,1,8,8,0,0,1,1,2,4,2,3,1
92,92,47219,2,27,262723,10,0,40,0,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,4,4,1,0,0,1,1,5,0,7,7,4
93,93,48160,4,34,103642,9,0,40,0,0,0,0,0,0,1,1,1,1,3,2,0,4,0,4,0,6,1,3,2,7,7,3,0,0,1,5,2,0,0,1,1,2,4,2,3,1
94,94,147,4,36,108293,9,0,24,0,0,0,0,0,1,0,2,0,0,1,1,1,2,2,1,5,1,2,4,5,3,1,8,3,2,9,6,3,0,2,2,0,0,1,5,1,2
95,95,21528,2,33,185336,11,0,40,0,0,0,0,1,0,1,1,1,1,1,1,0,3,5,3,4,4,0,5,0,5,5,4,4,1,5,4,1,0,0,1,0,3,5,1,2,0
96,96,44932,4,44,89172,14,0,40,0,0,0,1,1,0,2,0,1,2,2,1,4,1,5,5,3,4,5,2,0,2,2,4,7,8,5,2,1,0,0,1,0,3,5,1,2,0
97,97,30170,4,36,256636,9,0,40,0,0,0,0,0,0,0,2,1,3,0,2,3,0,0,2,1,6,3,6,2,0,6,3,2,4,4,8,8,0,0,1,1,2,4,2,7,4
98,98,32941,4,49,39140,9,0,60,0,0,1,1,1,1,1,1,0,1,1,4,0,3,2,0,0,1,4,5,7,1,3,6,6,7,3,1,6,1,2,2,4,0,1,3,4,3
99,99,20182,4,50,191130,11,0,40,1,0,0,1,1,0,1,1,1,1,1,1,2,3,5,3,4,4,6,1,0,6,5,4,8,1,5,3,7,0,0,1,0,3,5,1,2,0
100,100,32206,2,61,190682,9,0,50,0,0,1,0,1,1,1,1,0,1,1,4,0,3,2,3,4,1,0,5,7,5,5,6,4,1,9,4,1,1,2,2,4,0,1,3,4,2
101,101,40508,4,54,155737,13,8614,40,1,0,1,1,1,1,2,0,3,2,2,0,4,3,3,3,4,3,0,2,3,5,2,5,4,8,2,4,1,1,2,3,2,1,3,6,0,7
102,102,27434,4,37,336880,10,0,50,0,0,0,0,1,1,0,1,0,3,0,1,3,0,5,2,2,4,3,5,5,0,0,4,2,6,0,9,0,0,2,2,0,3,5,5,2,9
103,103,47103,4,34,450141,13,15024,35,1,0,1,1,1,2,2,0,2,2,1,3,4,0,4,2,2,2,0,5,4,5,0,7,4,6,7,4,1,1,1,0,3,4,2,4,6,6
104,104,13685,2,48,493862,9,7298,38,1,0,1,0,1,2,1,1,2,1,1,3,0,3,3,3,4,3,0,5,3,5,5,0,4,1,6,4,1,1,1,0,3,1,3,6,5,5
105,105,26776,4,44,317320,10,0,40,0,0,0,0,1,0,0,1,1,3,0,1,3,0,5,2,2,4,3,5,0,0,0,4,2,6,5,9,0,0,0,1,0,3,5,1,2,0
106,106,38528,4,50,143804,9,0,55,0,0,0,1,1,1,1,1,0,1,1,1,0,3,5,0,0,4,4,5,5,1,3,4,6,7,0,1,6,0,2,2,0,3,5,5,2,9
107,107,4280,4,64,114994,9,0,20,0,0,1,0,1,1,1,1,0,0,1,4,2,3,2,3,4,1,6,1,7,6,5,6,5,1,9,7,1,1,2,2,4,0,1,3,4,2
108,108,2741,4,47,189123,9,0,40,0,0,0,0,1,0,1,1,1,1,1,2,2,3,0,3,4,6,6,1,2,6,5,3,8,1,1,3,7,0,0,1,1,2,4,2,3,1
109,109,26036,4,24,179203,8,0,55,0,0,0,0,0,1,1,1,0,1,1,1,0,3,5,0,0,4,4,5,5,1,3,8,6,7,0,1,6,0,2,2,0,3,5,5,1,9
110,110,36309,4,47,189680,4,0,40,1,0,1,0,0,1,1,1,0,1,1,4,2,3,2,3,4,1,4,5,7,4,5,6,1,1,3,0,5,1,2,2,4,0,1,3,4,3
111,111,11993,4,53,139671,13,0,40,1,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,8,4,4,1,0,0,1,1,5,0,7,7,4
112,112,7229,2,36,285865,13,0,40,0,0,0,0,1,0,1,1,1,1,1,1,0,3,1,3,4,0,0,5,0,5,5,1,4,1,5,4,1,0,0,1,0,5,0,1,2,0
113,113,30079,4,47,140644,9,0,40,1,0,0,0,1,0,1,1,1,1,1,2,2,3,0,3,4,6,6,1,2,6,5,3,8,1,1,3,7,0,0,1,1,2,4,2,3,1
114,114,29081,4,26,253841,9,0,45,0,0,0,0,0,0,0,2,1,3,0,1,0,0,1,4,2,0,1,5,0,7,4,4,0,5,5,8,9,0,0,1,0,5,0,1,2,0
115,115,5843,4,23,224954,10,0,25,0,0,0,0,0,0,0,2,1,0,0,1,1,2,5,1,5,4,2,4,0,3,1,4,3,2,5,6,3,0,0,1,0,3,5,1,2,0
116,116,8489,4,24,189148,10,0,40,0,0,0,0,0,0,0,2,1,3,3,2,1,4,1,4,1,0,1,0,6,7,4,1,0,5,4,8,9,0,0,1,1,5,0,7,7,4
117,117,7112,4,20,42706,10,0,25,0,0,0,0,0,1,0,2,0,0,3,1,1,2,5,1,5,4,2,4,5,3,1,8,3,2,0,6,3,0,2,2,0,3,5,5,1,9
118,118,26852,2,36,257380,9,0,35,0,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,5,4,1,0,0,1,1,5,0,7,7,0
119,119,44830,4,50,185846,9,3103,40,1,0,0,1,1,0,1,1,1,1,1,1,2,3,5,3,4,4,6,1,0,6,5,4,8,1,5,3,7,0,0,1,0,3,5,1,2,0
120,120,14286,4,43,182757,9,0,40,1,0,0,0,0,0,1,1,1,1,1,2,0,3,0,3,1,6,6,6,2,6,6,3,8,4,1,3,8,0,0,1,1,2,4,2,3,1
121,121,10538,4,39,177728,14,0,40,0,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,8,4,2,1,0,0,1,1,5,0,7,7,4
122,122,27861,2,61,63526,8,0,52,0,0,1,0,1,1,1,1,0,1,1,4,0,3,2,3,4,1,0,5,7,5,5,6,4,1,3,4,1,1,2,2,4,0,6,3,4,3
123,123,29331,4,42,185764,10,0,60,0,0,0,1,1,0,1,1,1,1,1,1,0,3,5,0,0,4,4,5,0,1,3,4,6,7,0,1,6,0,0,1,0,3,5,1,2,9
124,124,4348,4,33,184901,9,0,40,1,0,0,0,0,0,1,2,1,1,3,2,0,4,0,4,1,6,1,6,2,7,6,3,0,4,1,8,8,0,0,1,1,2,4,2,3,1
125,125,44066,2,24,188073,10,0,40,0,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,4,4,1,0,0,1,1,5,0,7,7,4
126,126,44310,4,39,91039,14,0,45,0,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,8,4,2,1,0,0,1,1,5,0,7,7,4
127,127,20989,2,36,197495,13,0,40,0,0,0,0,1,0,1,1,1,1,1,2,0,3,1,3,4,0,0,5,6,5,5,1,4,1,4,4,1,0,0,1,1,5,0,7,7,4
128,128,37891,4,50,170326,9,0,40,0,0,0,0,1,0,1,1,1,1,1,2,2,3,0,3,4,6,6,1,2,6,5,3,8,1,1,3,7,0,0,1,1,2,4,2,3,1
129,129,6915,4,46,110015,4,0,75,0,0,1,0,1,2,1,1,2,1,1,3,0,3,4,0,0,2,4,5,4,1,3,0,6,7,6,1,5,1,1,0,3,4,2,4,5,5
130,130,27087,4,26,77661,13,0,40,0,0,0,1,1,0,2,0,1,2,2,2,4,1,1,5,3,0,5,2,6,2,2,1,7,3,4,2,4,0,0,1,1,5,0,7,7,4
131,131,1570,2,19,62534,13,0,40,0,0,0,0,1,1,1,1,0,1,1,1,0,3,5,3,4,4,0,5,5,5,5,8,4,1,0,4,1,0,2,2,0,3,5,5,1,9
132,132,36153,4,63,75813,15,99999,60,1,1,1,1,1,2,2,0,-1,2,1,-1,4,3,-1,3,4,-1,0,2,-1,5,5,-1,4,8,-1,4,1,1,1,-1,-1,-1,-1,-1,-1,-1
133,133,14453,2,27,139903,9,0,30,0,0,0,0,1,0,1,1,1,1,1,1,0,3,5,3,4,4,0,5,0,5,5,4,4,1,0,4,1,0,0,1,0,3,5,1,2,9
134,134,20516,4,28,109001,9,0,40,0,0,0,0,0,0,1,1,1,1,3,2,1,4,0,4,0,6,1,3,2,7,7,3,0,0,1,5,2,0,0,1,1,2,4,2,3,1
135,135,13400,4,60,103344,9,15024,40,1,0,1,1,1,2,2,1,2,2,1,3,4,3,4,3,4,2,0,1,4,5,5,0,4,1,6,4,1,1,1,0,3,4,2,4,5,5
136,136,40833,4,57,167483,11,0,50,0,0,1,1,1,1,1,1,0,1,1,4,2,3,2,3,4,1,6,1,7,6,5,6,8,1,3,3,7,1,2,2,4,0,1,3,4,3
137,137,6478,4,29,464536,13,0,40,0,0,1,0,1,1,0,0,0,3,0,4,3,0,2,2,2,1,3,5,7,0,0,6,2,6,3,9,0,1,2,2,4,0,1,3,4,3
